description,domain,sub_domain
"The human reproductive system has been largely isolated from the environment. It is dominated by the role of mother, child, and mother in maintaining a healthy and productive reproduction.",Medical,Reproductive Medicine
"Hematology is the study of how a tissue or organ is damaged, damaged or mutilated in order to repair it.",Medical,Hematology
Orthopedics is a field of medicine that combines the physical sciences with medicine to give people a new perspective.,Medical,Orthopedics
"Pathology is a broad field in medicine, which includes pathology, which is a branch of medicine whose fields are primarily in the medical field. Pathology is an area in medicine that includes many areas of the physical and abrasive science. Pathologists specialize in areas of the physical and abrasive science, including pathology, pathophysiology, biochemistry, bioinformatics, biochemistry, and pharmacology.",Medical,Pathology
Endocrinology is the study of endocrinology.,Medical,Endocrinology
Orthopedics is the treatment of injuries that are caused by an injured or dislocated foot or leg.,Medical,Orthopedics
"Dermatology is the study of a human body, specifically, its skin and skin cells, to determine whether they have evolved or developed.",Medical,Dermatology
Neurology is the study of the nervous system and of neuronal physiology.,Medical,Neurology
Plastic Surgery - wikipedia,Medical,Plastic Surgery
"Pediatrics in the Medical domain, also known as Psychiatric or Child Psychology, is a medical specialty in which the physical, cognitive and emotional aspects of an adult's life are studied.",Medical,Pediatrics
Medical emergency medicine involves the treatment of emergency situations in the medical field.,Medical,Emergency Medicine
"Hematology is the study of the immune system and its interactions with other organs, the nervous system, heart and nervous system.",Medical,Hematology
"Hematology is the study of disease in the human body, and is a branch of medicine which deals with the diagnosis, treatment, prevention, and cure of diseases and disorders.",Medical,Hematology
Emergency medicine is the term used in a medical setting for treating emergency situations.,Medical,Emergency Medicine
Nephrology is the medical discipline of medicine based on the clinical practice of kidney transplantation.,Medical,Nephrology
A study that compared the ten amputations of patients with normal body mass index (BMI) to those of non-bilateral or peripheral limbs in the area of arthroscopic surgery.,Medical,Orthopedics
"General Surgery is the medical discipline that deals with general surgery, referring to all kinds of hysteria, such as the abdominal or pelvic and chest surgeries.",Medical,General Surgery
Nephrology is the medical field that encompasses a range of disciplines.,Medical,Nephrology
"Orthopedics in the medical domain is the study of disease or conditions, and the treatment of injuries, disease or disorders of the hip, knee, elbow, wrist, and leg.",Medical,Orthopedics
"Nephrology is the study of kidney diseases, including blood clots and hypertension.",Medical,Nephrology
Reproductive Medicine (MoR) is the medical discipline that includes the study of reproduction and reproduction in reproduction and reproduction reshaping.,Medical,Reproductive Medicine
Nephrology focuses on the diagnosis and treatment of kidney disease.,Medical,Nephrology
"Emergency medicine (medical subdiscipline) is an era of medical research that focusses on the diagnosis, prevention, and treatment of emergencies.",Medical,Emergency Medicine
Reproductive Medicine in the Medical DomainReproductive Medicine in the Medical domain is the field of reproductive medicine. It includes reproductive health science and veterinary health science.,Medical,Reproductive Medicine
Radiology is the science and art of interpreting the principles and concepts of radiation to medical science.,Medical,Radiology
Dermatology is a branch of medicine that deals with the treatment of skin diseases and infections.,Medical,Dermatology
Pathology is the study of pathologic pathology.,Medical,Pathology
Oncology is a discipline that has been studied in the Medical field since the 1950s.,Medical,Oncology
Pediatrics in the Medical domain: Pediatrics () is a medical discipline involving the study of the health and well-being of children and adolescents.,Medical,Pediatrics
"Neurology () is a branch of medicine, where research on neurology has been carried out.",Medical,Neurology
"Cardiology consists of cardiology in the medical domain, and is the practice of performing cardiovascular work. Cardiology includes various medical disciplines, including cardiology, physiology, medicine, and epidemiology.",Medical,Cardiology
Endocrinology is the study of endocrinology in the Medical domain.,Medical,Endocrinology
Emergency medicine is the treatment and management of medical emergencies.,Medical,Emergency Medicine
Plastic Surgery is a medical discipline that deals with the treatment of various plastic surgeries.,Medical,Plastic Surgery
Pathology (including pathology) is the study of disease.,Medical,Pathology
Radiology (radiology) is a medical discipline that is the branch of medicine and the scientific branch of science.,Medical,Radiology
Anesthesiology is a discipline in medicine that deals with the diagnosis and treatment of medical conditions.,Medical,Anesthesiology
